Tanggal Input,Pelaksanaan,Segmen,Ecosystem,Waktu,Nama AM,Kegiatan,Action Plan,Eksisting / New Customer,PERIODE
17/06/2025,PT Wiratama Indramayu Perkasa,BS,Manufacture,"Selasa, 17 Juni 2025",JEAN,Silaturahmi & Diskusi terkait solusi Telkom Untuk Kawasan, Buat Bisplan dan Rev Plan untuk pertemuan selasa depan,Eksisting ,JUNI
19/06/2025,SMK Nasional jatiwangi,BS,Education,"Selasa, 17 Juni 2025",Ayaka,Follow Up terkait sph Indibiz+Pijar,Follow Up Ulang,Eksisting ,JUNI
19/06/2025,PT. Corinthian Industries Indonesia,BS,Manufacture,"Selasa, 17 Juni 2025",Ayaka,Sirkulir berkas KFS dan update progres delivery,-,Eksisting ,JUNI
19/06/2025, CV. Terlaksana Sukses Mandiri,BS,Retail,"Kamis, 19 Juni 2025",Ayaka,Diskusi terkait kebutuhan internet di lokasi cabang, Submit SPH,Eksisting ,JUNI
19/06/2025,Hotel Aston Cirebon,BS,Hospitality,"Kamis, 19 Juni 2025",Ayaka,Diskusi terkait kebutuhan internet,Submit SPH,New Customer ,JUNI
19/06/2025,PT sejahtera Kurir Expres,BS,Jasa,"Rabu, 11 Juni 2025",Charlotte,Kunjungan penanganan gangguan Connectivity,lapor teknisi,Eksisting ,JUNI
19/06/2025,SMKN 5 Kuningan,BS,Education,"Kamis, 12 Juni 2025",Charlotte,Kunjungan ke TA terkait Mockup KIDI FO,FU klik Siplah,Eksisting ,JUNI
19/06/2025,The Kyle Pemuda Hotel,BS,Horeca,"Kamis, 12 Juni 2025",Charlotte,kunjungan lihat progres pembangunan Hotel, FU terkait mulai kerjasama,New Customer ,JUNI
19/06/2025,ZAM ZAM Pool,BS,Tourism,"Jumat, 13 Juni 2025",Charlotte,Kunjungan pembuatan testimoni mengenai layanan Connectivity,diskusi gali opti,Eksisting ,JUNI
19/06/2025,RS UMC,BS,Health,"Selasa, 17 Juni 2025",Charlotte,Present layanan OCA bersama Mas Irsyad,Pembuatan SPH,Eksisting ,JUNI
19/06/2025,CV Matrik,BS,jasa,"Selasa, 17 Juni 2025",Charlotte,kunjungan diskusi kebutuhan Connectivity,diskusi lanjutan ,New Customer ,JUNI
19/06/2025,PDAM Tirta Giri Nata Kota Cirebon,BS,jasa,"Rabu, 18 Juni 2025",Charlotte,"kunjungan bapak GM, manager BS sekaligus present layanan Smart water Level",Assesment,Eksisting ,JUNI
19/06/2025,SMK Islamic Center,BS,Education,"Kamis, 19 Juni 2025",Charlotte,pengarahan siswa siswi PKL yang langsung dari GM Telkom Akses Priangan Timur,-,Eksisting ,JUNI
19/06/2025,RS Pelabuhan,BS,Health,"Kamis, 19 Juni 2025",Charlotte,kunjungan dari RS terkait kolaborasi Digital Marketing,diskusi lanjutan,Eksisting ,JUNI
20/06/2025,Tanda tangan perpanjangan kontrak WMS,BS,Hospitality,12 Juni 2025,Sara,Visit,-,Eksisting ,JUNI
20/06/2025,Tanda tangan perpanjangan kontrak Astinet,BS,Manufacture,12 Juni 2025,Sara,Visit,-,Eksisting ,JUNI
20/06/2025,Follow Up SPH layanan PABX  bersama IT & Bagian umum,BS,Hospitality,17 Juni 2025,Sara,Visit,-,New Customer ,JUNI
20/06/2025,Follow up upgrade layanan astinet,BS,Hospitality,13 Juni 2025,Sara,Visit,-,Eksisting ,JUNI
20/06/2025,Silaturahmi dengan Wakasek kurikulum,BS,Education,13 Juni 2025,Sara,Visit,-,New Customer ,JUNI
20/06/2025,Kunjungan tahap awal perkenalan dengan kepala sekolah (Tidak sempat foto bersama),BS,Education,19 Juni 2025,Sara,Visit,-,New Customer ,JUNI
20/06/2025,Kunjungan tahap awal perkenalan dengan OPS,BS,Education,19 Juni 2025,Sara,Visit,-,New Customer ,JUNI
20/06/2025,Kunjungan tahap awal perkenalan dengan kepsek (Tidak sempat berfoto bersama,BS,Education,19 Juni 2025,Sara,Visit,-,New Customer ,JUNI
23/06/2025,Penyerahan Sertifikat,BS,Education,20 Juni 2025,Lisa,Visit,-,Eksisting ,JUNI
23/06/2025,Penandatanganan BASO Astinet,BS,retail & wholesaler,20 Juni 2025,Lisa,Visit, Proses BC,Eksisting ,JUNI
24/06/2025,Hotel Aston Cirebon,BS,Hospitality,"Selasa, 24 Juni 2025",Ayaka,Visit bersama Manar follow up terkait SPH Astinet,Follow Up ulang,New Customer ,JUNI
25/06/2025,SMK Bina Mandiri,BS,Education,"Rabu, 18-06-2025",Yanfei,Silaturahmi dan diskusi terkait connectivity dan kelas industri,Followup,New Customer ,JUNI
25/06/2025,PT AHI (Acep Herbal Internasional),BS,Manufaktur,"Rabu, 18-06-2025",Yanfei,Prospect dan inisiasi gali informasi,Followup,New Customer ,JUNI
25/06/2025,SMKS Singaparna,BS,Education,"Selasa, 24-06-2025",Yanfei,Delivery sertifikat ujikon dan tandatangan dokumen BASO,Masih ada revisi kesalahan sertifikat dari TA perlu FU ke TA,Eksisting ,JUNI
25/06/2025,PT Kannaya Adi Karya (Jeda Space),BS,Horeca,"Selasa, 24-06-2025",Yanfei,Tandatangan dokumen BASO,Kawal billcomp,Eksisting ,JUNI
26/06/2025,SMK Babussalam,BS,Education,11 Juni 2025,Emilie,diskusi terkait permintaan upgrade layanan indibiz dan gali opty,fu,Eksisting ,JUNI
26/06/2025,SMK Ilman Nafiah,BS,Education,13 Juni 2025,Emilie,penyerahan sertifikat BNSP pengembangan perangkat lunak,,Eksisting ,JUNI
26/06/2025,PT Tonglan Chemistry Technology,BS,Manufaktur,10 Juni 2025,Emilie,ttd kontrak layanan astinet dan indibiz dgn nilai kontrak 116jt,proses input dan kawal   ,New Customer ,JUNI
26/06/2025,RS Pertamina Cirebon,BS,Health,20 Juni 2025,Emilie,kunjungan diskusi layanan upgrade layanan indibiz,,Eksisting ,JUNI
26/06/2025,SMKN 1 Kapetakan,BS,Education,20 Juni 2025,Emilie,kunjungan diskusi terkait billing astinet,,Eksisting ,JUNI
26/06/2025,SMK Teknik Bakti Persada,BS,Education,24 Juni 2025,Emilie,silaturahmi dan diskusi pendampingan Program SMK PK Regular 2025, fu dan kawal pelanggan ,New Customer ,JUNI
26/06/2025,SMK Ilman Nafiah,BS,Education,24 Juni 2025,Emilie,silaturahmi dan diskusi pendampingan Program SMK PK Regular 2025,fu dan kawal pelanggan ,Eksisting ,JUNI
26/06/2025,SMK Bina Cendekia,BS,Education,26 Juni 2025,Emilie,silahturahmi dan diskusi permintaan sekolah support tenda untuk kegiatan promosi peneriman peserta didik baru,,Eksisting ,JUNI
26/06/2025,PT Jakarta Intiland Ciplaz Garut,BS,Hospitality,26 Juni 2025,Sara,Follow up serta presentasi terkait PKS kawasan,-,Eksisting ,JUNI
30/06/2025,SMAN 6 Cirebon,BS,Education,"Senin, 23 Juni 2025",Charlotte,kunjungan penjadwalan present Pijar Sekolah,penjadwalan present Pijar sekolah,Eksisting ,JUNI
30/06/2025,SMKN 1 Cirebon,BS,Education,"Senin, 23 Juni 2025",Charlotte,kunjungan pemberian Sertifikat BNSP, diskusi lanjutan ,New Customer ,JUNI
30/06/2025,SMKN 1 Cirebon,BS,Education,"Senin, 23 Juni 2025",Charlotte,Diskusi kerjasama sekolah dengan telkom dan digitalisasi Pijar sekolah,Present Pijar sekolah,New Customer ,JUNI
30/06/2025,SMK Budi Mandiri,BS,Education,"Rabu, 25 Juni 2025",Charlotte,perbaikan dan Klaim 10 Camera CCTV Antarez yang rusak dan bikin testimoni layanan Antarez Easy,-,Eksisting ,JUNI
30/06/2025,Univ Muhamadiyah Kuningan,BS,Education,"Kamis, 26 Juni 2025",Charlotte,"Diskusi digitalisasi Campus, Connectivity untuk Kampus",diskusi dan present lanjutan ,New Customer ,JUNI
30/06/2025,SMK Plus Samiudin,BS,Education,"Kamis, 26 Juni 2025",Charlotte,kunjungan ke sekolah jauh dan eskrim serta Diskusi digitalisasi sekolah,Present Pijar sekolah,New Customer ,JUNI
30/06/2025,Aston Inn,BS,Hospitality,Juni 2025,Diona,Survei kebutuhan SMATV,submit SPH ,Eksisting ,JUNI
30/06/2025,SMA IT Ibadurrohman,BS,Edukasi,23 Juni 2025,Diona,Penawaran solusi B2B,submit SPH Astinet dan CCTV,New Customer ,JUNI
30/06/2025,Valli,BS,Ruko,3 Juni 2025,Diona,Penawaran solusi B2B,submit SPH ,New Customer ,JUNI
30/06/2025,Aston Inn,BS,Hospitality,5 Juni2025,Diona,Survei kebutuhan SMATV, submit SPH,Eksisting ,JUNI
30/06/2025,Siloka Kopi,BS,Ruko,5 Juni 2025,Diona,Penawaran solusi B2B, submit SPH ,New Customer ,JUNI
30/06/2025,SMK BPN,BS,Edukasi,20 Juni2025,Diona,Delivery sertifikat Ujikom dan silaturahmi dengan kepsek baru,submit SPH KIDi,Eksisting ,JUNI
30/06/2025,SMK Terpadu Al Ikhwan,BS,Education,20 Juni 2025,Diona,Delivery Sertifikat Ujikom,-,Eksisting ,JUNI
30/06/2025,PD BPR Artha Sukapura,BS,Banking,26 Juni 2025,Lisa,Menghadiri acara pengundian hadiah tabungan,-,Eksisting ,JUNI
30/06/2025,PT BPR Artha Galunggung Perseroda,BS,Banking,26 Juni 2025,Lisa,"koordinasi persiapan upgrade layanan hsi utk kantor cabang, koordinasi rencana berlangganan Floucloud"," cek layanan existing, koordinasi inputer",Eksisting ,JUNI
30/06/2025,SMK MIFTAHUSSALAM Ciamis,BS,Education,30 Juni 2025,Lisa,"Penyerahan sertifikat BNSP program DIGIuP untuk 3 siswa, koordinasi persiapan SMK PK Reguler",Koordinasi BS & RSO,Eksisting ,JUNI
30/06/2025,Pak Galih,BS,Education,30 Juni 2025,Emilie,kawal siswa sekolah PKL di Telkom Akses,-,Eksisting ,JUNI
30/06/2025,SMK Ilman Nafiah,BS,Education,30 Juni 2025,Emilie,diskusi lanjutan terkait pendampingan Program SMK PK Regular 2025,fu dan akwal pelanggan ,Eksisting ,JUNI
30/06/2025,PT. DILMONI,BS,Education,"Rabu, 9 Juni 2025",JEAN,Diskusi terkait penambahan layanan indibiz,Input,Eksisting ,JUNI
30/06/2025,SMK TARUNA,BS,Education,"Rabu, 9 Juni 2025",JEAN,diskusi terkait maganag siswa sekaligus FU SPH magang guru,FU,Eksisting ,JUNI
30/06/2025,RS Islam Zamzam Muhammadiyah,BS,Healthycare,"Rabu, 12 Juni 2025",JEAN,caring pelanggan terkait gangguan layanan astinet,Ekskalasi tim EOS  ,Eksisting ,JUNI
30/06/2025,CV. Pinguin,BS,Retail,"Rabu, 13 Juni 2025",JEAN,Diskusi terlkait support tennat untul pameran DKUKMPP Kota Cirebon,,Eksisting ,JUNI
30/06/2025,SMK PGRI JATIBARANG,BS,Education,"Rabu, 13 Juni 2025",JEAN,Penyerahan sertifikat BNSP, Ekskalasi tim EOS  ,Eksisting ,JUNI
